step,game/actor_reward_mean,game/reference_reward_mean,game/actor_win_rate,game/reward_margin_mean,actor/dpo_loss,time/step
121,0.017,0.0,1.0,0.017,18.468,76.384
122,0.0,0.0,1.0,0.0,9.816,60.514
123,0.017,0.0,1.0,0.017,9.888,72.629
124,0.0,0.0,1.0,0.0,0.0,71.611
125,0.017,0.033,0.667,-0.017,24.533,68.978
126,0.0,0.0,1.0,0.0,8.962,60.337
127,0.017,0.0,1.0,0.017,51.197,66.744
128,0.017,0.0,1.0,0.017,6.622,67.165
129,0.0,0.017,0.833,-0.017,14.705,69.939
130,0.017,0.0,1.0,0.017,30.745,65.348
131,0.017,0.0,1.0,0.017,37.467,52.552
132,0.033,0.0,1.0,0.033,2.677,81.502
133,0.017,0.0,1.0,0.017,0.0,96.006
134,0.017,0.0,1.0,0.017,0.004,93.399
135,0.033,0.0,1.0,0.033,23.347,89.621
136,0.0,0.0,1.0,0.0,34.713,85.321
137,0.017,0.0,1.0,0.017,37.549,85.108
138,0.033,0.0,1.0,0.033,18.402,89.354
139,0.0,0.0,1.0,0.0,17.796,92.547
140,0.0,0.017,0.833,-0.017,56.672,102.329
141,0.017,0.0,1.0,0.017,22.63,100.977
142,0.033,0.0,1.0,0.033,14.573,102.384
143,0.017,0.0,1.0,0.017,12.889,88.214
144,0.017,0.0,1.0,0.017,11.149,90.348
145,0.017,0.0,1.0,0.017,7.86,89.768
146,0.017,0.0,1.0,0.017,0.0,80.066
147,0.017,0.017,0.833,0.0,28.134,67.015
148,0.033,0.0,1.0,0.033,7.747,74.229
149,0.033,0.0,1.0,0.033,23.08,68.454
150,0.017,0.017,0.833,0.0,50.449,61.399
151,0.017,0.0,1.0,0.017,17.272,73.791
152,0.0,0.0,1.0,0.0,0.0,63.132
153,0.017,0.017,0.833,0.0,17.031,67.017
154,0.017,0.0,1.0,0.017,8.407,54.486
155,0.017,0.0,1.0,0.017,21.795,71.108
156,0.017,0.0,1.0,0.017,13.746,62.642
157,0.0,0.0,1.0,0.0,29.601,74.232
158,0.033,0.0,1.0,0.033,6.14,87.449
159,0.0,0.017,0.833,-0.017,14.821,83.076
160,0.033,0.017,0.833,0.017,17.058,81.738
161,0.033,0.0,1.0,0.033,15.359,95.783
162,0.033,0.0,1.0,0.033,18.664,112.668
163,0.0,0.0,1.0,0.0,0.0,107.784
164,0.0,0.017,0.833,-0.017,4.27,98.746
165,0.017,0.017,0.833,0.0,40.796,100.339
166,0.017,0.0,1.0,0.017,40.043,101.547
167,0.017,0.0,1.0,0.017,13.733,102.903
168,0.017,0.033,0.833,-0.017,39.125,106.056
169,0.0,0.0,1.0,0.0,0.0,103.925
170,0.033,0.017,0.833,0.017,6.567,94.019
171,0.0,0.0,1.0,0.0,17.453,84.612
172,0.017,0.0,1.0,0.017,4.62,75.535
173,0.017,0.0,1.0,0.017,0.0,90.451
174,0.017,0.0,1.0,0.017,29.79,80.832
175,0.0,0.017,0.833,-0.017,16.995,67.124
176,0.017,0.0,1.0,0.017,29.686,62.63
177,0.017,0.0,1.0,0.017,14.264,70.155
178,0.017,0.0,1.0,0.017,16.523,75.033
179,0.1,0.0,1.0,0.1,19.118,77.932
180,0.0,0.0,1.0,0.0,29.926,66.319
181,0.05,0.0,1.0,0.05,17.403,62.416
182,0.05,0.0,1.0,0.05,31.739,58.334
183,0.033,0.0,1.0,0.033,35.234,69.757
184,0.017,0.017,0.833,0.0,18.417,76.053
185,0.0,0.0,1.0,0.0,50.148,92.238
186,0.033,0.017,1.0,0.017,30.218,65.549
187,0.017,0.0,1.0,0.017,31.07,70.458
188,0.033,0.0,1.0,0.033,23.792,69.267
189,0.017,0.0,1.0,0.017,0.0,69.875
190,0.017,0.0,1.0,0.017,10.661,59.988
191,0.017,0.017,0.833,0.0,7.866,62.347
192,0.017,0.0,1.0,0.017,40.254,68.793
193,0.033,0.0,1.0,0.033,1.956,60.075
194,0.033,0.0,1.0,0.033,15.978,52.666
195,0.05,0.0,1.0,0.05,9.499,67.348
196,0.033,0.017,0.833,0.017,5.104,67.077
197,0.033,0.0,1.0,0.033,1.021,54.886
198,0.017,0.0,1.0,0.017,44.879,66.74
199,0.0,0.0,1.0,0.0,2.574,59.177
200,0.0,0.017,0.833,-0.017,4.943,67.972
201,0.017,0.0,1.0,0.017,16.37,56.553
202,0.033,0.017,0.833,0.017,14.531,62.709
203,0.033,0.0,1.0,0.033,11.779,54.723
204,0.017,0.0,1.0,0.017,16.152,57.129
205,0.0,0.0,1.0,0.0,12.508,52.74
206,0.017,0.017,0.833,0.0,15.41,62.241
207,0.033,0.017,1.0,0.017,11.761,61.765
208,0.0,0.017,0.833,-0.017,6.969,58.075
209,0.05,0.017,1.0,0.033,18.835,54.581
210,0.017,0.0,1.0,0.017,15.782,67.586
211,0.017,0.0,1.0,0.017,7.9,57.294
212,0.017,0.0,1.0,0.017,16.127,53.223
213,0.017,0.0,1.0,0.017,3.117,57.872
214,0.017,0.0,1.0,0.017,23.211,59.534
215,0.0,0.017,0.833,-0.017,24.253,57.898
216,0.0,0.0,1.0,0.0,16.657,48.98
217,0.05,0.0,1.0,0.05,0.026,60.16
218,0.017,0.0,1.0,0.017,0.244,56.27
219,0.017,0.0,1.0,0.017,13.265,64.373
220,0.0,0.0,1.0,0.0,24.168,55.206
221,0.0,0.0,1.0,0.0,29.327,44.419
222,0.033,0.0,1.0,0.033,0.0,61.292
223,0.033,0.017,0.833,0.017,6.965,66.756
224,0.033,0.0,1.0,0.033,16.154,76.787
225,0.033,0.0,1.0,0.033,13.074,52.624
226,0.0,0.0,1.0,0.0,12.616,59.227
227,0.0,0.0,1.0,0.0,14.037,57.78
228,0.017,0.0,1.0,0.017,21.918,55.693
229,0.017,0.0,1.0,0.017,27.332,52.372
230,0.0,0.033,0.667,-0.033,27.739,89.834
231,0.017,0.0,1.0,0.017,0.173,93.997
232,0.05,0.0,1.0,0.05,0.0,85.44
233,0.0,0.0,1.0,0.0,13.479,86.32
234,0.033,0.0,1.0,0.033,15.667,83.116
235,0.0,0.017,0.833,-0.017,28.401,87.835
236,0.017,0.0,1.0,0.017,17.387,92.984
237,0.0,0.0,1.0,0.0,24.093,84.291
238,0.0,0.0,1.0,0.0,10.513,88.432
239,0.0,0.0,1.0,0.0,9.455,83.955
240,0.017,0.0,1.0,0.017,29.628,63.674
241,0.017,0.0,1.0,0.017,12.97,45.465
242,0.083,0.0,1.0,0.083,5.33,67.837
243,0.017,0.0,1.0,0.017,13.664,59.93
244,0.017,0.033,0.667,-0.017,13.495,52.284
245,0.017,0.0,1.0,0.017,11.87,82.948
246,0.033,0.0,1.0,0.033,16.051,97.557
247,0.033,0.017,0.833,0.017,33.448,93.025
248,0.017,0.0,1.0,0.017,11.139,93.092
249,0.033,0.0,1.0,0.033,19.187,93.946
250,0.0,0.0,1.0,0.0,6.937,85.385
251,0.0,0.0,1.0,0.0,14.556,78.607
252,0.0,0.0,1.0,0.0,15.027,92.45
253,0.0,0.0,1.0,0.0,11.854,83.296
254,0.017,0.0,1.0,0.017,12.512,83.904
255,0.0,0.017,0.833,-0.017,9.902,72.607
256,0.0,0.017,0.833,-0.017,21.379,88.644
257,0.017,0.0,1.0,0.017,10.426,90.034
258,0.017,0.0,1.0,0.017,28.365,88.994
259,0.017,0.0,1.0,0.017,4.04,90.288
260,0.033,0.05,0.667,-0.017,15.871,89.162
261,0.033,0.0,1.0,0.033,0.001,81.492
262,0.017,0.0,1.0,0.017,8.961,88.916
263,0.033,0.0,1.0,0.033,0.0,56.18
264,0.05,0.017,1.0,0.033,0.0,58.298
265,0.05,0.0,1.0,0.05,1.575,59.459
266,0.0,0.0,1.0,0.0,39.533,56.444
267,0.033,0.0,1.0,0.033,5.481,60.467
268,0.017,0.0,1.0,0.017,34.944,86.195
269,0.017,0.033,0.667,-0.017,8.956,102.847
270,0.0,0.0,1.0,0.0,13.49,94.144
271,0.0,0.017,0.833,-0.017,15.882,93.614
272,0.033,0.0,1.0,0.033,22.883,61.834
273,0.033,0.017,0.833,0.017,21.981,91.691
274,0.017,0.0,1.0,0.017,13.295,90.744
275,0.05,0.0,1.0,0.05,26.451,91.659
276,0.0,0.0,1.0,0.0,7.586,87.395
277,0.0,0.017,0.833,-0.017,18.954,100.899
278,0.033,0.0,1.0,0.033,14.621,86.256
279,0.0,0.0,1.0,0.0,11.988,88.866
280,0.017,0.017,0.833,0.0,2.808,85.761
281,0.017,0.017,0.833,0.0,12.169,99.977
282,0.0,0.0,1.0,0.0,0.0,97.661
283,0.017,0.0,1.0,0.017,22.533,97.882
284,0.0,0.0,1.0,0.0,20.133,94.597
285,0.0,0.0,1.0,0.0,24.708,97.054
286,0.0,0.0,1.0,0.0,0.0,98.13
287,0.017,0.0,1.0,0.017,21.009,98.935
288,0.017,0.0,1.0,0.017,12.13,89.683
289,0.0,0.0,1.0,0.0,22.036,75.804
290,0.017,0.0,1.0,0.017,10.437,67.619
291,0.033,0.0,1.0,0.033,6.637,69.947
292,0.017,0.0,1.0,0.017,12.129,65.007
293,0.033,0.0,1.0,0.033,32.648,64.409
294,0.017,0.017,0.833,0.0,8.448,57.593
295,0.033,0.017,0.833,0.017,6.633,46.001
296,0.033,0.0,1.0,0.033,17.004,64.453
297,0.033,0.017,1.0,0.017,2.791,60.601
298,0.017,0.0,1.0,0.017,6.751,66.398
299,0.017,0.0,1.0,0.017,10.282,67.25
300,0.0,0.0,1.0,0.0,14.511,92.624
301,0.0,0.0,1.0,0.0,14.333,94.5
302,0.017,0.0,1.0,0.017,35.148,69.586
303,0.0,0.0,1.0,0.0,16.25,57.17
304,0.0,0.0,1.0,0.0,16.693,57.499
305,0.0,0.0,1.0,0.0,12.363,59.584
306,0.033,0.0,1.0,0.033,25.106,49.14
307,0.033,0.017,1.0,0.017,0.0,62.824
308,0.017,0.0,1.0,0.017,23.419,59.292
309,0.033,0.183,0.667,-0.15,8.143,60.803
310,0.0,0.0,1.0,0.0,17.851,48.055
